Suburb,Jan - Mar 2023,Apr - Jun 2023,Jul - Sep 2023,Oct - Dec 2023
NUNAWADING,1100000,1199500,1205000,1238000
MILLGROVE,557500,535000,570000,581500
MITCHAM,1122500,1230500,1220000,1220000
VERMONT,1200000,1250000,1300000,1205000
VERMONT SOUTH,1498000,1535000,1500000,1533000
RINGWOOD,1050000,950000,995000,1000000
RINGWOOD NORTH,1042500,1260000,1225000,1320000
WARRANWOOD,1072500,1194800,1230000,1270000
HEATHMONT,1135000,1072500,1225800,940000
RINGWOOD EAST,1000000,941300,1110000,970500
CROYDON,910000,900000,902500,950000
CROYDON HILLS,1048400,1150000,1324000,1196000
CROYDON NORTH,1107500,1114000,1121900,1000000
CROYDON SOUTH,890000,898000,876800,911500
KILSYTH,782500,780000,825500,827500
KILSYTH SOUTH,865200,1200000,920000,1020000
MOOROOLBARK,804000,800000,847500,828800
LAUNCHING PLACE,650000,671500,667500,650000
SEVILLE,900000,747500,824800,817500
WANDIN NORTH,800000,810000,710000,765000
WOORI YALLOCK,616300,622500,630000,704200
LILYDALE,922500,877500,890000,1022500
SOUTH YARRA,2700000,2255000,2420000,2388000
TOORAK,6630000,6352000,5175000,4815000
ARMADALE,2100000,3483100,2517500,2484000
MALVERN,3050000,3117500,3457000,2317500
MALVERN EAST,2110000,2030000,2105000,2330000
GLEN IRIS,2420000,2570000,2467500,2462000
ASHBURTON,1768000,2070000,2100000,2205500
ASHWOOD,1327500,1482500,1545000,1483000
CHADSTONE,1326000,1300500,1307000,1220000
MOUNT WAVERLEY,1672500,1700000,1600000,1550000
SYNDAL,1727500,2200000,2202500,1725000
GLEN WAVERLEY,1658900,1650000,1704000,1620000
WHEELERS HILL,1500000,1413500,1465000,1595000
BURWOOD EAST,1254000,1283500,1305000,1243500
STUDFIELD,920000,1097800,1170000,1012500
WANTIRNA,1053000,1230000,1150000,1180000
WANTIRNA SOUTH,1225000,1296000,1443000,1355000
BAYSWATER,872000,864900,840000,911500
BAYSWATER NORTH,870000,820000,896500,822500
THE BASIN,916000,820000,840000,853000
BORONIA,835000,865000,888900,831000
FERNTREE GULLY,900000,852000,936000,886000
LYSTERFIELD,913500,1400800,1350500,1262600
LYSTERFIELD SOUTH,1560000,1938000,1982500,1405000
UPPER FERNTREE GULLY,782500,795000,925000,890000
UPWEY,821000,865000,1057000,947500
SELBY,815000,932000,860000,480000
BELGRAVE,770000,790000,830000,821000
TECOMA,805000,794800,935900,826000
CAULFIELD NORTH,2600000,2725000,2660000,2585000
CAULFIELD,1928500,1670000,1945000,2250000
CAULFIELD SOUTH,1945000,1712000,2050000,1872500
CARNEGIE,1542500,1808000,1690000,1600000
GLEN HUNTLY,1513000,1251000,2150000,1735500
MURRUMBEENA,1500000,1950000,1645000,1637500
BENTLEIGH EAST,1427500,1450000,1430000,1427000
HUGHESDALE,1445000,1575000,1340000,1422000
HUNTINGDALE,1367000,1225000,1032000,1175000
OAKLEIGH,1265000,1305000,1430000,1320000
OAKLEIGH EAST,950000,1215000,1172500,1095000
OAKLEIGH SOUTH,1020000,1100000,1170800,1233000
CLAYTON,1259000,1138900,1109500,1155000
CLAYTON NORTH,1180000,1306000,1333000,1186300
NOTTING HILL,1200000,1070000,1151000,1144000
CLARINDA,921000,920000,1005000,995000
CLAYTON SOUTH,955000,921000,973000,943500
WESTALL,880000,800000,900000,853300
MULGRAVE,933000,986300,1120000,1077000
SPRINGVALE,880000,875000,863000,893000
DINGLEY VILLAGE,1040000,1165000,1155000,1069500
SPRINGVALE SOUTH,804500,810500,792500,800000
KEYSBOROUGH,947400,864500,927800,929500
NOBLE PARK,710000,726000,733800,755000
NOBLE PARK NORTH,740500,710000,752500,758300
DANDENONG,690000,693000,682500,696500
DANDENONG NORTH,708000,700000,738500,750000
DOVETON,540000,570000,550000,617500
EUMEMMERRING,706000,607500,680000,645000
ROWVILLE,1025000,1096000,1160000,1098000
SCORESBY,910000,953000,950000,990000
KNOXFIELD,862500,950000,923000,1058500
PRAHRAN,1540000,1710000,1746000,2107500
WINDSOR,1523800,1450000,1500000,1500000
ST KILDA,1166000,1525000,1270000,1600000
ST KILDA WEST,3800000,3800000,2855000,2300000
BALACLAVA,1550000,1523500,1280000,1432500
ST KILDA EAST,1321300,1557500,1955000,1576000
ELWOOD,2550000,1895000,2200000,1900000
ELSTERNWICK,2476500,2285000,2300000,1930000
BRIGHTON,3300000,3675000,3100000,3115000
BRIGHTON EAST,2435000,2370000,2595000,2230000
HAMPTON,2500000,2275000,2464000,2490000
HAMPTON EAST,1215000,1575000,1427500,1452500
MOORABBIN,1300000,1222500,1347500,1320000
HIGHETT,1487500,1477500,1460000,1455000
SANDRINGHAM,2048000,1950000,2115000,2227500
CHELTENHAM,1383500,1425000,1300000,1324500
CHELTENHAM EAST,1165000,1215000,1107000,1165000
CHELTENHAM NORTH,1075000,1083000,1000000,946500
BEAUMARIS,1962500,2057500,2012000,2155000
BLACK ROCK,2325000,2060000,2850000,2265000
MENTONE,1412000,1320000,1220000,1432500
ASPENDALE,1350000,1393000,1235000,1395000
ASPENDALE GARDENS,1067500,1235000,1176000,1075000
MORDIALLOC,1460000,1400500,1415000,1207400
PARKDALE,1309000,1330000,1520000,1381000
WATERWAYS,1690000,1840000,1750000,1680000
BONBEACH,1026500,1110000,1160000,1227500
CHELSEA,1115000,1400000,1200000,1100000
CHELSEA HEIGHTS,900000,897300,950000,895500
EDITHVALE,1267000,1267500,1260000,1345000
CARRUM,960000,1035000,1003100,1125000
PATTERSON GARDENS,1312500,1300000,1283800,1237500
PATTERSON LAKES,1650000,1215000,1300000,1558800
SEAFORD,833000,762800,835000,860000
FRANKSTON,700000,750000,725000,745000
FRANKSTON SOUTH,1200000,1028800,1141000,1217500
FRANKSTON NORTH,562500,572500,575000,577500
CARRUM DOWNS,681300,690300,705000,710000
HEATHERTON,1070000,1125300,1235000,1200000
BENTLEIGH,1870000,1635500,1691600,1687500
MCKINNON,1773500,2010000,1930000,2130000
ORMOND,1621500,2000000,1843000,1840500
SOUTH MELBOURNE,2270000,1555000,1402500,1695000
ALBERT PARK,2098500,2500000,2275000,2340000
MIDDLE PARK,1940000,3030000,2150000,2405000
GARDEN CITY,1725000,1799500,1467500,1798300
PORT MELBOURNE,1745000,1850000,1565000,1850000
LARA,799900,705000,662500,692000
LARA LAKE,727500,707500,675000,750000
LOVELY BANKS,650000,690000,580000,690000
CORIO,475000,490000,477500,484800
NORLANE,460000,466400,450000,452500
BELL PARK,587500,600000,620000,630000
BELL POST HILL,592500,617500,639000,611500
HAMLYN HEIGHTS,723000,705000,775000,740000
NORTH GEELONG,654000,602600,650000,616300
RIPPLESIDE,970000,816000,1275000,1110000
BELMONT,671000,700000,699500,670000
GROVEDALE,637500,670000,680000,650000
HIGHTON,810000,912500,960000,911000
MARSHALL,623500,615000,600000,550000
WANDANA HEIGHTS,830000,1015000,998000,1090000
WAURN PONDS,805000,830000,740000,837500
ARMSTRONG CREEK,675000,677500,675000,670000
CHARLEMONT,635000,607500,585000,599000
MOUNT DUNEED,746000,720000,710000,737500
FYANSFORD,1210000,1127500,940000,780000
GEELONG WEST,1010000,832500,912500,940000
HERNE HILL,760000,627500,690000,732000
MANIFOLD HEIGHTS,850000,1240000,1095000,928500
BREAKWATER,575000,470000,612000,550000
EAST GEELONG,835000,990000,850000,762500
NEWCOMB,544000,572500,575500,597300
ST ALBANS PARK,588800,605000,585000,577500
THOMSON (GREATER GEELONG),562000,560000,500000,525000
WHITTINGTON,492500,500000,495000,500000
GEELONG,930000,797500,1265000,1000000
NEWTOWN (GREATER GEELONG),1330000,1220000,1069000,1338800
SOUTH GEELONG,750000,785000,950000,902500
CLIFTON SPRINGS,665000,680000,670000,647500
CURLEWIS,686300,667500,662300,760000
DRYSDALE,880000,640000,680000,827500
INDENTED HEAD,862500,765000,830000,792500
PORTARLINGTON,945000,872500,980000,1000000
ST LEONARDS,765000,782500,750000,750000
LEOPOLD,702500,677500,652500,700000
POINT LONSDALE,1847500,1292500,1252500,1220000
QUEENSCLIFF,1967500,1470000,1637500,1565000
OCEAN GROVE,1175000,985000,972500,960000
BARWON HEADS,1850000,2000000,1550000,1727500
CONNEWARRE,1925000,1000000,2042500,2300000
JAN JUC,1290000,1320000,1158500,1287500
TORQUAY,1350000,1165000,1252500,1206000
ANGLESEA,1735000,1720000,1522500,1482500
AIREYS INLET,1570000,1900000,1745000,1587500
LORNE,1910000,2204500,1550000,4000000
APOLLO BAY,1125000,1200000,1060000,998800
WINCHELSEA,605000,635000,635000,670000
BIRREGURRA,960000,750000,835000,782500
COLAC,490000,470000,465000,490000
ELLIMINYT,814500,602500,755000,675000
CAMPERDOWN,397500,515000,475000,420000
TERANG,385000,380000,400000,330000
COBDEN,378500,397500,425000,380000
TIMBOON,558000,558000,485500,425000
MORTLAKE,362500,349500,384300,300000
DENNINGTON,633500,630000,550000,645500
WARRNAMBOOL,620000,600000,560000,615000
KOROIT,525000,770000,640000,595000
PORT FAIRY,1300000,817500,950000,875000
PENSHURST,257500,257500,310000,190000
HAMILTON,395000,370000,360000,369500
HEYWOOD,322500,380000,295000,345000
PORTLAND,437500,446500,397500,451300
CASTERTON,285000,305000,330000,290000
COLERAINE,210000,205000,210000,180000
EDENHOPE,345000,265500,345000,205000
BANNOCKBURN,705000,677500,710000,752500
MEREDITH,600000,650000,540000,540000
BONNIE BROOK,670000,669900,644900,682500
ROCKBANK,605000,675000,632500,595000
THORNHILL PARK,637500,630000,599500,606500
AINTREE,735500,735000,800100,740500
DEANSIDE,631000,640000,639000,670000
FRASER RISE,700000,735000,712500,705000
HARKNESS,600000,584500,579000,550000
KURUNJANG,515400,515000,512500,535000
MELTON,460000,470000,468500,489400
MELTON WEST,540000,540000,563000,520000
BROOKFIELD,570000,560000,555000,562000
COBBLEBANK,600000,660000,673500,610000
EYNESBURY,674000,670000,628500,690000
MELTON SOUTH,485000,492500,517500,498000
STRATHTULLOH,591000,650000,665000,610000
WEIR VIEWS,577000,556000,560000,575000
BACCHUS MARSH,635000,652500,627500,625000
DARLEY,579500,749500,720000,681000
MADDINGLEY,645000,655000,605000,620000
BALLAN,641000,582000,600000,630000
GORDON,779000,757500,595800,707500
ALFREDTON,640000,668500,610000,660000
BALLARAT CENTRAL,605000,611300,615000,615000
BALLARAT EAST,505500,548800,528800,485000
BALLARAT NORTH,690000,665000,570000,571800
BLACK HILL,740000,670000,622000,565000
BROWN HILL,707500,715000,645000,820000
CANADIAN,515000,520000,605000,598500
EUREKA,578500,480000,470000,525000
GOLDEN POINT (BALLARAT),575000,529000,465300,580000
INVERMAY PARK,657500,770000,650000,692500
LAKE WENDOUREE,1185000,1390000,1562500,1112500
LUCAS,617500,680000,640000,648800
MOUNT CLEAR,510000,495000,542500,480000
MOUNT HELEN,580000,675000,572300,555000
MOUNT PLEASANT,507600,545000,420000,470000
NERRINA,670000,477500,722500,665000
NEWINGTON,950000,644500,480000,690000
REDAN,460000,470000,490500,540000
SOLDIERS HILL,640000,635000,485000,537500
SMYTHES CREEK,620000,625000,530000,600000
SMYTHESDALE,530000,465000,572000,750000
BONSHAW,577000,536500,600000,560000
